team,elo
Spain,1961.1617842406242
England,1868.0481627337376
Argentina,1857.0673876020921
France,1851.881187289358
Turkey,1849.425384773016
Morocco,1848.8755160962123
Ecuador,1829.6307792270927
Senegal,1825.7218198942703
Norway,1814.4624178827823
Australia,1812.985883045261
Japan,1807.1486851560935
Mexico,1784.8007122119095
Colombia,1774.620313682756
Paraguay,1772.43349610515
Brazil,1767.976356788894
Algeria,1766.2820991495919
Portugal,1764.2054934192563
Uzbekistan,1762.9134788011518
South Korea,1761.4933961964316
Egypt,1757.8894858721058
Netherlands,1757.350267308084
Panama,1756.6935158437116
Croatia,1755.1924352304322
Germany,1753.1495233107128
Switzerland,1753.007758263956
DR Congo,1751.7325301861583
Iran,1750.712958122071
Iraq,1744.2787148465814
Canada,1736.6912887210942
Uruguay,1735.4726824934535
Jordan,1712.068517642523
Haiti,1711.8825997764818
Ivory Coast,1709.1849687366596
Scotland,1687.5243339585738
Belgium,1679.1175007896402
New Zealand,1663.4694453515947
United States,1655.0618035588911
Tunisia,1650.4966679708773
Cape Verde,1648.4416033768478
Austria,1646.6437446117304
Saudi Arabia,1645.166728796032
Curaçao,1644.1118610068936
Sweden,1624.8934618917506
Ghana,1609.1324136702467
Qatar,1594.7162842343582
Czech Republic,1589.1307365171137
Bosnia and Herzegovina,1582.5174965374272
South Africa,1576.097867184918
