Team,R32 %,R16 %,QF %,SF %,Final %,Winner %
Spain,99,55.9,40.2,28.2,19.3,19.3
Argentina,96.8,50.9,34.5,23.3,14.9,14.9
France,93.6,43.8,27.7,16.6,9.9,9.9
England,93.8,36.4,21,11.3,6,6
Colombia,89.2,34.4,19.8,11.1,5.5,5.5
Brazil,92.6,35.3,19.8,10.3,5.4,5.4
Ecuador,93,31,16.4,8.3,3.8,3.8
Netherlands,89,28.1,14.6,7.3,3.4,3.4
Portugal,87.1,29.7,16,7.7,3.4,3.4
Japan,87.9,28.1,14.7,7.3,3.1,3.1
Morocco,87,26.9,13.3,6.3,2.7,2.7
Germany,89.9,26.4,12.9,5.9,2.6,2.6
Mexico,96.3,26.8,12.5,5.3,2.2,2.2
Uruguay,87.7,24.9,12.4,5.2,2.1,2.1
Croatia,86.1,24.1,11.5,5.1,2,2
Switzerland,92,22,9.5,4,1.5,1.5
Senegal,72.2,17,7.6,3.1,1.3,1.3
Norway,71.9,17.5,7.8,3.3,1.2,1.2
Turkey,69.4,16.5,6.9,2.8,1.1,1.1
Paraguay,64.6,14.5,5.8,2.4,0.9,0.9
Australia,65.6,14.8,6.3,2.6,0.9,0.9
Canada,96.6,19.8,8.2,3.1,0.9,0.9
Iran,77.5,16,5.9,2.4,0.8,0.8
Belgium,80.5,17.8,7.3,2.7,0.8,0.8
South Korea,79.2,15.9,6.6,2.3,0.7,0.7
Algeria,59.7,11,4.3,1.5,0.5,0.5
Panama,71.2,13.4,5.1,1.7,0.4,0.4
Austria,60.8,10.6,3.9,1.3,0.4,0.4
Uzbekistan,54.1,9,3.3,1.1,0.4,0.4
United States,74.3,11.7,4.2,1.4,0.4,0.4
Scotland,55.5,7.6,2.3,0.5,0.2,0.2
Egypt,61.4,8.5,2.6,0.8,0.2,0.2
DR Congo,39.1,4.4,1.4,0.4,0.2,0.2
Saudi Arabia,35.1,2.5,0.7,0.1,0.1,0.1
Ivory Coast,60.8,7.6,2.3,0.7,0.1,0.1
Sweden,46.1,4.4,1.3,0.4,0.1,0.1
Czech Republic,56.4,5.6,1.7,0.5,0.1,0.1
New Zealand,53.1,5.9,1.6,0.5,0.1,0.1
Tunisia,45.5,4.6,1.2,0.3,0.1,0.1
Jordan,46,5.4,1.8,0.5,0.1,0.1
Ghana,19.7,0.9,0.1,0,0,0
Bosnia and Herzegovina,41.6,1.6,0.2,0.1,0,0
South Africa,33.2,1.7,0.3,0.1,0,0
Qatar,30.2,0.8,0.1,0,0,0
Iraq,31.5,3.2,1,0.2,0,0
Curaçao,23.6,1.1,0.1,0,0,0
Cape Verde,30.5,1.7,0.3,0.1,0,0
Haiti,32.4,2.5,0.5,0.1,0,0
